table,section_id,item,instrument,instructions,section_prompt,item_text,option_text,resp,combined_text
facit_yount_2021_hadsx,main,hadsx14,Depression scale,NA,During the past 7 days,I can enjoy a good book or radio or TV programme:,Sometimes,2,During the past 7 days: I can enjoy a good book or radio or TV programme: Sometimes
facit_yount_2021_hadsx,main,hadsx14,Depression scale,NA,During the past 7 days,I can enjoy a good book or radio or TV programme:,Very seldom,4,During the past 7 days: I can enjoy a good book or radio or TV programme: Very seldom
facit_yount_2021_hadsx,main,hadsx14,Depression scale,NA,During the past 7 days,I can enjoy a good book or radio or TV programme:,Not often,3,During the past 7 days: I can enjoy a good book or radio or TV programme: Not often
facit_yount_2021_hadsx,main,hadsx14,Depression scale,NA,During the past 7 days,I can enjoy a good book or radio or TV programme:,Often,1,During the past 7 days: I can enjoy a good book or radio or TV programme: Often
facit_yount_2021_hadsx,main,hadsx7,Depression scale,NA,During the past 7 days,I can laugh and see the funny side of things:,Not at all,4,During the past 7 days: I can laugh and see the funny side of things: Not at all
facit_yount_2021_hadsx,main,hadsx7,Depression scale,NA,During the past 7 days,I can laugh and see the funny side of things:,Definitely not so much now,3,During the past 7 days: I can laugh and see the funny side of things: Definitely not so much now
facit_yount_2021_hadsx,main,hadsx7,Depression scale,NA,During the past 7 days,I can laugh and see the funny side of things:,As much as I always could,1,During the past 7 days: I can laugh and see the funny side of things: As much as I always could
facit_yount_2021_hadsx,main,hadsx7,Depression scale,NA,During the past 7 days,I can laugh and see the funny side of things:,Not quite so much now,2,During the past 7 days: I can laugh and see the funny side of things: Not quite so much now
facit_yount_2021_hadsx,main,hadsx13,Depression scale,NA,During the past 7 days,I can sit at ease and feel relaxed:,Not at all,4,During the past 7 days: I can sit at ease and feel relaxed: Not at all
facit_yount_2021_hadsx,main,hadsx13,Depression scale,NA,During the past 7 days,I can sit at ease and feel relaxed:,Not often,3,During the past 7 days: I can sit at ease and feel relaxed: Not often
facit_yount_2021_hadsx,main,hadsx13,Depression scale,NA,During the past 7 days,I can sit at ease and feel relaxed:,Usually,2,During the past 7 days: I can sit at ease and feel relaxed: Usually
facit_yount_2021_hadsx,main,hadsx13,Depression scale,NA,During the past 7 days,I can sit at ease and feel relaxed:,Definitely,1,During the past 7 days: I can sit at ease and feel relaxed: Definitely
facit_yount_2021_hadsx,main,hadsx2,Depression scale,NA,During the past 7 days,I feel as if I am slowed down:,Sometimes,3,During the past 7 days: I feel as if I am slowed down: Sometimes
facit_yount_2021_hadsx,main,hadsx2,Depression scale,NA,During the past 7 days,I feel as if I am slowed down:,Not at all,4,During the past 7 days: I feel as if I am slowed down: Not at all
facit_yount_2021_hadsx,main,hadsx2,Depression scale,NA,During the past 7 days,I feel as if I am slowed down:,Very often,2,During the past 7 days: I feel as if I am slowed down: Very often
facit_yount_2021_hadsx,main,hadsx2,Depression scale,NA,During the past 7 days,I feel as if I am slowed down:,Nearly all the time,1,During the past 7 days: I feel as if I am slowed down: Nearly all the time
facit_yount_2021_hadsx,main,hadsx11,Depression scale,NA,During the past 7 days,I feel cheerful:,Not often,2,During the past 7 days: I feel cheerful: Not often
facit_yount_2021_hadsx,main,hadsx11,Depression scale,NA,During the past 7 days,I feel cheerful:,Most of the time,4,During the past 7 days: I feel cheerful: Most of the time
facit_yount_2021_hadsx,main,hadsx11,Depression scale,NA,During the past 7 days,I feel cheerful:,Sometimes,3,During the past 7 days: I feel cheerful: Sometimes
facit_yount_2021_hadsx,main,hadsx11,Depression scale,NA,During the past 7 days,I feel cheerful:,Not at all,1,During the past 7 days: I feel cheerful: Not at all
facit_yount_2021_hadsx,main,hadsx8,Depression scale,NA,During the past 7 days,I feel restless as if I have to be on the move:,Not very much,3,During the past 7 days: I feel restless as if I have to be on the move: Not very much
facit_yount_2021_hadsx,main,hadsx8,Depression scale,NA,During the past 7 days,I feel restless as if I have to be on the move:,Quite a lot,2,During the past 7 days: I feel restless as if I have to be on the move: Quite a lot
facit_yount_2021_hadsx,main,hadsx8,Depression scale,NA,During the past 7 days,I feel restless as if I have to be on the move:,Not at all,4,During the past 7 days: I feel restless as if I have to be on the move: Not at all
facit_yount_2021_hadsx,main,hadsx8,Depression scale,NA,During the past 7 days,I feel restless as if I have to be on the move:,Very much indeed,1,During the past 7 days: I feel restless as if I have to be on the move: Very much indeed
facit_yount_2021_hadsx,main,hadsx1,Depression scale,NA,During the past 7 days,I feel tense or ‘wound up’:,A lot of the time,2,During the past 7 days: I feel tense or ‘wound up’: A lot of the time
facit_yount_2021_hadsx,main,hadsx1,Depression scale,NA,During the past 7 days,I feel tense or ‘wound up’:,"Time to time, Occasionally",3,"During the past 7 days: I feel tense or ‘wound up’: Time to time, Occasionally"
facit_yount_2021_hadsx,main,hadsx1,Depression scale,NA,During the past 7 days,I feel tense or ‘wound up’:,Most of the time,1,During the past 7 days: I feel tense or ‘wound up’: Most of the time
facit_yount_2021_hadsx,main,hadsx1,Depression scale,NA,During the past 7 days,I feel tense or ‘wound up’:,Not at all,4,During the past 7 days: I feel tense or ‘wound up’: Not at all
facit_yount_2021_hadsx,main,hadsx5,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like something awful is about to happen:,Very definitely and quite badly,1,During the past 7 days: I get a sort of frightened feeling like something awful is about to happen: Very definitely and quite badly
facit_yount_2021_hadsx,main,hadsx5,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like something awful is about to happen:,"Yes, but not too badly",2,"During the past 7 days: I get a sort of frightened feeling like something awful is about to happen: Yes, but not too badly"
facit_yount_2021_hadsx,main,hadsx5,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like something awful is about to happen:,"A little, but it doesn't worry me",3,"During the past 7 days: I get a sort of frightened feeling like something awful is about to happen: A little, but it doesn't worry me"
facit_yount_2021_hadsx,main,hadsx5,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like something awful is about to happen:,Not at all,4,During the past 7 days: I get a sort of frightened feeling like something awful is about to happen: Not at all
facit_yount_2021_hadsx,main,hadsx4,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like ‘butterflies in the stomach’:,Not at all,1,During the past 7 days: I get a sort of frightened feeling like ‘butterflies in the stomach’: Not at all
facit_yount_2021_hadsx,main,hadsx4,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like ‘butterflies in the stomach’:,Occasionally,2,During the past 7 days: I get a sort of frightened feeling like ‘butterflies in the stomach’: Occasionally
facit_yount_2021_hadsx,main,hadsx4,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like ‘butterflies in the stomach’:,Quite often,3,During the past 7 days: I get a sort of frightened feeling like ‘butterflies in the stomach’: Quite often
facit_yount_2021_hadsx,main,hadsx4,Depression scale,NA,During the past 7 days,I get a sort of frightened feeling like ‘butterflies in the stomach’:,Very often,4,During the past 7 days: I get a sort of frightened feeling like ‘butterflies in the stomach’: Very often
facit_yount_2021_hadsx,main,hadsx12,Depression scale,NA,During the past 7 days,I get sudden feelings of panic:,Not very often,3,During the past 7 days: I get sudden feelings of panic: Not very often
facit_yount_2021_hadsx,main,hadsx12,Depression scale,NA,During the past 7 days,I get sudden feelings of panic:,Not at all,4,During the past 7 days: I get sudden feelings of panic: Not at all
facit_yount_2021_hadsx,main,hadsx12,Depression scale,NA,During the past 7 days,I get sudden feelings of panic:,Very often indeed,1,During the past 7 days: I get sudden feelings of panic: Very often indeed
facit_yount_2021_hadsx,main,hadsx12,Depression scale,NA,During the past 7 days,I get sudden feelings of panic:,Quite often,2,During the past 7 days: I get sudden feelings of panic: Quite often
facit_yount_2021_hadsx,main,hadsx6,Depression scale,NA,During the past 7 days,I have lost interest in my appearance:,I don't take so much care as I should,2,During the past 7 days: I have lost interest in my appearance: I don't take so much care as I should
facit_yount_2021_hadsx,main,hadsx6,Depression scale,NA,During the past 7 days,I have lost interest in my appearance:,I take just as much care as ever,4,During the past 7 days: I have lost interest in my appearance: I take just as much care as ever
facit_yount_2021_hadsx,main,hadsx6,Depression scale,NA,During the past 7 days,I have lost interest in my appearance:,Definitely,1,During the past 7 days: I have lost interest in my appearance: Definitely
facit_yount_2021_hadsx,main,hadsx6,Depression scale,NA,During the past 7 days,I have lost interest in my appearance:,I may not take quite as much care,3,During the past 7 days: I have lost interest in my appearance: I may not take quite as much care
facit_yount_2021_hadsx,main,hadsx10,Depression scale,NA,During the past 7 days,I look forward with enjoyment to things:,As much as I ever did,1,During the past 7 days: I look forward with enjoyment to things: As much as I ever did
facit_yount_2021_hadsx,main,hadsx10,Depression scale,NA,During the past 7 days,I look forward with enjoyment to things:,Hardly at all,4,During the past 7 days: I look forward with enjoyment to things: Hardly at all
facit_yount_2021_hadsx,main,hadsx10,Depression scale,NA,During the past 7 days,I look forward with enjoyment to things:,Definitely less than I used to,3,During the past 7 days: I look forward with enjoyment to things: Definitely less than I used to
facit_yount_2021_hadsx,main,hadsx10,Depression scale,NA,During the past 7 days,I look forward with enjoyment to things:,Rather less than I used to,2,During the past 7 days: I look forward with enjoyment to things: Rather less than I used to
facit_yount_2021_hadsx,main,hadsx3,Depression scale,NA,During the past 7 days,I still enjoy the things I used to enjoy:,Only a little,3,During the past 7 days: I still enjoy the things I used to enjoy: Only a little
facit_yount_2021_hadsx,main,hadsx3,Depression scale,NA,During the past 7 days,I still enjoy the things I used to enjoy:,Not quite so much,2,During the past 7 days: I still enjoy the things I used to enjoy: Not quite so much
facit_yount_2021_hadsx,main,hadsx3,Depression scale,NA,During the past 7 days,I still enjoy the things I used to enjoy:,Definitely as much,1,During the past 7 days: I still enjoy the things I used to enjoy: Definitely as much
facit_yount_2021_hadsx,main,hadsx3,Depression scale,NA,During the past 7 days,I still enjoy the things I used to enjoy:,Hardly at all,4,During the past 7 days: I still enjoy the things I used to enjoy: Hardly at all
facit_yount_2021_hadsx,main,hadsx9,Depression scale,NA,During the past 7 days,Worrying thoughts go through my mind:,A lot of the time,2,During the past 7 days: Worrying thoughts go through my mind: A lot of the time
facit_yount_2021_hadsx,main,hadsx9,Depression scale,NA,During the past 7 days,Worrying thoughts go through my mind:,A great deal of the time,1,During the past 7 days: Worrying thoughts go through my mind: A great deal of the time
facit_yount_2021_hadsx,main,hadsx9,Depression scale,NA,During the past 7 days,Worrying thoughts go through my mind:,From time to time but not too often,3,During the past 7 days: Worrying thoughts go through my mind: From time to time but not too often
facit_yount_2021_hadsx,main,hadsx9,Depression scale,NA,During the past 7 days,Worrying thoughts go through my mind:,Only occasionally,4,During the past 7 days: Worrying thoughts go through my mind: Only occasionally
